,review,sentiment
22287,"A bland title disguises this solidly-carpentered example of old-fashioned Hollywood entertainment, this film proves a largely successful hodgepodge of several disparate elements: a period piece, a romantic drama, a crime movie and a political thriller. Interestingly, though made by Fox, its protagonists  Robert Taylor and Barbara Stanwyck  were both usually associated with other studios; their on screen chemistry here is palpable and eventually led to marriage in a couple of years' time. While a bit too young, Taylor is a dashing hero (a Marine personally appointed by President McKinley to uncover the culprits behind an organized clean-up of numerous banks); unsurprisingly, no sooner has he tracked them down (led by smooth Brian Donlevy and thuggish Victor McLaglen) that he falls for a chanteuse (naturally, Stanwyck) who has thrown her lot with the gang  although, truth be told, singing is far from being the actress' forte! Similarly, apart from having to prove his worth to make it into their fold, he has to vie with McLaglen for Stanwyck's attentions; by the way, the practical joker persona of the former reminded me a lot of Charley Chase in SONS OF THE DESERT (1933) which, incidentally, was likewise directed by William A. Seiter. Later on, Taylor is in two minds about involving Stanwyck in the impending bait and tries to offer his resignation to the President while eloping with the girl  but the jealous rival disrupts his plans. The robbery gone awry, we find Donlevy dead and the other two in jail; Taylor's hopes for McKinley's intervention  having meanwhile learned the identity of the elusive and obviously prominent 'inside man'  are seemingly dashed when the President winds up assassinated himself (a great plot twist, though the resulting eleventh-hour suspense feels contrived)! To get back to the film's jumble of styles, even if the vaudeville sequences are a matter of taste, the romantic triangle slows things up and it skimps somewhat on the thriller aspect, this emerges a handsome production indeed  with the actors already mentioned ably supported by the likes of John Carradine (who unaccountably disappears after just one scene!), Douglas Fowley, Sig Rumann and, as two American Presidents, Sidney Blackmer (the bubbly Theodore Roosevelt) and Frank Conroy (McKinley).",positive
33410,"James Cagney is best known for his tough characters- and gangster roles but he has also played quite a lot 'soft' characters in his career. This musical is one of them and it was the first but not the last musical movie Cagney would star in.<br /><br />Cagney is even doing a bit of singing in this one and also quite an amount of dancing. And it needs to be said that he was not bad at it. He plays the role with a lot of confidence. He apparently had some dancing jobs in his early life before his acting career started to take off big time, so it actually isn't a weird thing that he also took on some musical acting roles in his career. He obviously also feels at ease in this totally different genre than most people are accustomed to seeing him in.<br /><br />The movie is directed by Lloyd Bacon, who was perhaps among the best and most successful director within the genre. His earliest '30's musicals pretty much defined the musical genre and he also was responsible for genre movies such as ""42nd Street"". His musicals were always light and fun to watch and more comedy like than anything else really. '30's musicals never were really about its singing, this was something that more featured in '40's and later made musicals, mainly from the MGM studios.<br /><br />As usual it has a light and simple story, set in the musical world, that of course is also predictable and progresses in a formulaic way. It nevertheless is a fun and simple story that also simply makes this an entertaining movies to watch. So do the characters and actors that are portraying them. Sort of weird though that that the total plot line of the movie gets sort of abandoned toward the end of the movie, when the movie only starts to consists out of musical number routines.<br /><br />The musical moments toward the ending of the movie are also amusing and well done, even though I'm not a too big fan of the genre itself. Once again the musical numbers also feature a young Billy Barty. he often played little boys/babies/mice and whatever more early on in his career, including the movie musical ""Gold Diggers of 1933"", of one year earlier. <br /><br />A recommendable early genre movie.<br /><br />8/10",positive
71,"Honestly - this short film sucks. the dummy used in the necro scene is pretty well made but still phony enough looking to ruin the viewing experience. the Unearthed DVD is crisp and clear and I haven't made up my mind if this helps or hinders it. If the film was a little grainy it might have added some ""creepiness factor"" to what was going on. I have no idea why this film has so much hype surrounding it other than the subject matter - but to be honest the necrophilia scenes in films like NEKROMANTIK and VISITOR Q among others, are more shocking than in AFTERMATH. All this talk about the film being about loneliness and all other manner of deep philosophy is bull****. This is an expensive, beautifully filmed turd. It's not that shocking, it's not that disgusting. if you insist on viewing it - rent it. I give it a 3 for the fact that not many people make explicit movies about necrophilia (there should definitely be a bigger selection for us sickos ;) - the filming is good and it does have some ""gore"" (if watching a rubbery looking doll get cut open is considered gore...) but other than that - absolutely nothing going for this over-hyped mess. On the other hand - GENESIS - Cerda's ""sequel"" to AFTERMATH (now available as a ""double feature"" released by Unearthed films) is an absolute masterpiece of a short film, really showing what a good director Cerda really is when given the right material. Although I don't care for AFTERMATH at all, GENESIS is so well made that I will forgive Cerda and Definitely keep an eye out for him in the future...",negative
15461,"Vadim changed Brigitte's image and way of life from that of the young society beauty he had married to that of a rebellious and challenging teenager of the 1950s <br /><br />""Une Parisienne"" succeeded in launching her ravishing figure as the teenage goddess, the casual sexuality, the provocative gaiety in confrontation with men <br /><br />Charles Boyer  as Prince Charles  was the perfect, ideal choice of those magically romantic moments His deep and vibrant voice spoke a promise of new adventures in love His deep, wondering eyes bespoke a worldly knowledge untarnished by cynicism He had the boudoir grace of Valentino without the hysteria or the sometime effeminacy of the great lover Under Michel Boisrond's direction, Boyer was an old-style romantic without the grand manner",positive
13755,I saw this in the summer of 1990. I'm still annoyed by how bad this movie is in 2001.<br /><br />Implausible plot. You'd have to be a child to think this could happen.<br /><br />I'm just really annoyed by it. Don't see this.,negative
47470,"Pecker is another mainstream film by John Waters done on a smaller than Serial Mom. The title character of Pecker has a hobby of taking pictures of anything he sees. It doesn't matter if it's dirty or shocking when he takes pictures. He soon uses the pictures he taken and puts them on display at his work. Pecker live in a semi-normal middle-class family. His dad works at a drinking bar with a claw machine, but doesn't make enough money with a lesbian stripper bar across the street. His mom runs a thrift shop and loves to dress-up poor people. His older sister, Tina, works at a gay bar where her specialty is trade. His younger, Little Chrissy, has a habit of eating sugar, sugar, and nothing but sugary food. His grandmother, Memama, has a small statue of the Virgin Mary and plays ventriloquist with it. He also has 2 friends. On of his friends, Matt is a chronic shoplifter and his girlfriend, Shelley, runs a laundry mat as if she was a dictator. Soon, a tourist from New York buys his pictures and displays them at an art gallery. With the picture comes fame, but the pictures expose the unusual life style of his friends and family's simple life. For an R-rated film, Pecker is sure tamer than most of Waters previous R-rated films and even Pink Flamingos. Another 10 out of 10!",positive
18485,"This starts out interestingly, as there's a carnival right next to someone's house with an oil rig right there too and some kind of store-front church across the street with a neon ""Jesus Saves"" sign, all right in one tiny area....Now that's pretty dazzling, if improbable...and then we go right into the movie which takes improbable to new levels. Of course this is a lame remake of the 1979 thriller starring Carol Kane as the babysitter Jill Johnson....now Jill is some chick that ran her cell phone minutes up so high her evil parents are punishing her by making her work it off, probably something that the audience this movie targets can identify with. Jill is taken to this huge and fancy house on a lake in the middle of nowhere (of course) by her dad to babysit for the Mandrakis family. The children are already nestled all snug in their beds when Jill arrives, and the housekeeper is still there, huh, she couldn't babysit? Of course, despite the remote location one of Jill's friends pops by, one whom with which she apparently has issues as in ""boyfriend stealing"" or something. Anyway, of course the alarm in the house goes off for no reason and then calls from someone start coming in, calls from someone that wants to kill her. Of course Jill calls the cops and since there hasn't been any actual threat on her life they blow her off, but tell her to call back if there's anything else they can do for her. Check out the scene with Jill calling her friends at the high school bonfire/pep rally or whatever it's supposed to be, it looks like some kind of ""Burning Man"" festival, ??!!?? There's all kind of contrived scares in this including the cool cat Chester who of course pops up here and there, one of the tiredest ""horror movie"" clichés there is. I will admit that I dozed off at some point during this, and did I miss anything? Hard to tell, or care, really. This is one of those films that makes me wonder how bad the remakes of ""Amityville Horror"", ""House of Wax"" or ""The Fog"" could have been. Anyway, from reading online reviews, it seems like the folks that were the most scared by this were 12 year old girls, and I can only assume that from statements like ""it made me pee-pee my pants"". Well, one can only hope that this will put an end to Hollywood remakes of films that weren't exactly stellar to begin with, but don't bet on it. 2 out of 10 and I'm being overly generous.",negative
25687,I switched this on (from cable) on a whim and was treated to quite a surprise...although very predictable this film turned out to be quite enjoyable...no big stars but well-directed and just plain fun. With all the over-hyped crap that is out there it is very nice to get an unexpected surprise now and then... and this little film fits the bill nicely. 9/10,positive
35777,"The biggest surprise in this movie was the performance of Daryl Hannah. Rather than playing the stereotypical ditzy blonde roles that she usually does she plays a street-smart, intelligent, world-weary character. She doesn't have a huge role but she does a great job portraying Lois Harlan as a woman tired of, although used to, covering up for her boss' indiscretions.",positive
37591,"I have been a fan of the Carpenters for a long time, read the biography, watched the specials, and saw the Karen Carpenter Story. This movie really didn't show the real Karen Carpenter. In the movie she seems to be a shy and a pretty much of loner (except for one girl friend). The real Karen Carpenter was much different. She was outgoing and friendly. She had lots of friends, especially Olive Newton-John. The movie doesn't even show Karen's attempts for a solo album and her meeting Phil Ramone and his wife Itchy ""Karen"". Itchy knew the real Karen Carpenter in New York. When Karen was in New York, she did see a psychologist, but it was voluntary and once a day and then she would leave to go to her hotel room. Also, Karen was taking pills to increase her thyroid, so she could loss weight, but stop taking them because the psychologist recommended her not too. Also, the Karen's husband in the movie is named Bob Knight, but in real life was named Tom Burris. Also, Karen wasn't divorced from Tom, but only separated. Karen was to sign the divorce papers on the day she died. Also, Agnes found Karen naked in the closet unciousness, unlike in the movie where she was dressed in white. The music was very good. That was the only thing I would recommend on seeing it.",negative
